127.0.0.1 - - [30/May/2024:16:22:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:43 +0900] "GET /packs/ HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:43 +0900] "GET /packs/resources/img/main/back1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:48 +0900] "GET /packs/resources/img/main/back6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:51 +0900] "POST /packs/submit HTTP/1.1" 200 2802
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%82%98%EB%AF%B8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EA%B7%B8%EB%A0%88%EC%9D%B4%EB%B8%8C%EC%A6%88.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/simul/list/%EA%B2%8C%EA%B2%8C/1 HTTP/1.1" 200 88376
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%8B%88%EC%BD%94.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%82%98%ED%94%BC%EB%A6%AC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%88%84%EB%88%84%EC%99%80%20%EC%9C%8C%EB%9F%BC%ED%94%84.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%A7%90%ED%8C%8C%EC%9D%B4%ED%8A%B8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%AA%A8%EB%A5%B4%EA%B0%80%EB%82%98.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%A5%B4%EB%B8%94%EB%9E%91.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%AA%A8%EB%8D%B0%EC%B9%B4%EC%9D%B4%EC%A0%80.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%B0%94%EB%A3%A8%EC%8A%A4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EC%89%94.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EC%B9%BC%EB%A6%AC%EC%8A%A4%ED%83%80.png HTTP/1.1" 200 18852
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%A3%B0%EB%A3%A8.png HTTP/1.1" 200 17050
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%ED%8B%B0%EB%AA%A8.png HTTP/1.1" 200 18177
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EB%A0%90.png HTTP/1.1" 200 20055
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EC%A0%9C%EC%9D%B4%EC%8A%A4.png HTTP/1.1" 200 13791
0:0:0:0:0:0:0:1 - - [30/May/2024:16:22:53 +0900] "GET /packs/resources/img/14.8.1/sqaure/%EC%98%A4%EB%A5%B8.png HTTP/1.1" 200 17145
