127.0.0.1 - - [23/May/2024:02:04:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:16 +0900] "GET /packs/ HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:16 +0900] "GET /packs/resources/img/main/back1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:21 +0900] "GET /packs/resources/img/main/back2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:21 +0900] "POST /packs/submit HTTP/1.1" 200 2802
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EA%B0%88%EB%A6%AC%EC%98%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "POST /packs/simul/home HTTP/1.1" 200 107393
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EA%B0%B1%ED%94%8C%EB%9E%AD%ED%81%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EA%B0%80%EB%A0%8C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%8B%88%EC%BD%94.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%82%98%EB%AF%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/main/Fighter.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%8B%88%EB%8B%AC%EB%A6%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/main/Tank.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%85%B9%ED%84%B4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EA%B7%B8%EB%A0%88%EC%9D%B4%EB%B8%8C%EC%A6%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%8B%A4%EC%9D%B4%EC%95%A0%EB%82%98.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%88%84%EB%88%84%EC%99%80%20%EC%9C%8C%EB%9F%BC%ED%94%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%85%B8%ED%8B%B8%EB%9F%AC%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EA%B7%B8%EC%9B%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/main/Support.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:02:04:27 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%82%98%ED%94%BC%EB%A6%AC.jpg HTTP/1.1" 304 -
